Date,AIR COMPRESSOR,ALTERNATOR,BATTERY,BRAKE CALIPER,BRAKE PAD,BRAKE ROTOR,CAMSHAFT,CARBERATOR,COIL SPRING,CRANKSHAFT,CYLINDER HEAD,DISTRIBUTOR,ENGINE BLOCK,FUEL INJECTOR,FUSE BOX,Production
2015-05-03,26,79,84,118,26,7,0,0,0,0,0,0,0,0,0,BATTERY
2015-05-04,135,64,76,104,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-05,109,50,37,81,98,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-05-06,84,21,55,71,58,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-05-07,69,16,51,51,35,88,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-05-08,61,7,46,14,13,56,109,0,0,0,0,0,0,0,0,CAMSHAFT
2015-05-09,49,79,0,0,0,8,67,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-10,12,33,135,0,0,0,63,0,0,0,0,0,0,0,0,BATTERY
2015-05-11,61,0,94,0,0,0,36,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-12,48,53,92,0,0,0,30,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-13,48,9,44,112,0,0,9,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-05-14,8,124,7,110,0,0,7,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-15,64,89,0,72,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-16,34,48,110,62,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-05-17,15,48,98,22,56,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-05-18,87,33,82,0,14,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-19,87,72,52,0,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-20,83,57,2,90,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-05-21,37,33,78,87,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-05-22,4,6,55,65,106,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-05-23,94,0,5,65,66,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-24,63,90,0,55,24,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-25,58,54,136,47,21,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-05-26,44,40,100,40,16,140,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-05-27,28,52,75,0,0,112,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-28,12,42,26,86,0,88,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-05-29,73,33,0,41,0,56,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-05-30,30,145,0,29,0,14,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-31,21,101,99,0,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-06-01,136,86,59,0,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-02,128,77,49,88,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-03,110,39,27,80,100,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-06-04,108,39,25,61,58,52,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-06-05,76,39,3,34,33,49,97,0,0,0,0,0,0,0,0,CAMSHAFT
2015-06-06,51,6,124,0,27,0,66,0,0,0,0,0,0,0,0,BATTERY
2015-06-07,7,101,88,0,2,0,52,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-08,73,75,62,0,0,0,36,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-09,47,45,31,121,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-10,16,103,23,110,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-11,65,63,15,69,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-12,51,49,81,39,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-06-13,43,22,81,54,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-14,4,139,33,25,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-15,116,116,24,6,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-16,97,109,113,0,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-06-17,85,74,109,75,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-18,68,29,91,37,61,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-06-19,43,126,75,17,29,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-20,10,77,46,135,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-21,130,69,45,105,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-22,97,57,23,73,59,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-06-23,88,53,50,37,30,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-06-24,67,33,19,20,60,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-06-25,47,28,150,16,56,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-06-26,38,57,108,0,52,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-27,139,34,61,0,3,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-06-28,89,17,11,64,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-06-29,45,109,0,31,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-06-30,31,105,110,16,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-01,13,102,86,2,114,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-02,5,65,84,87,66,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-07-03,141,43,71,86,31,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-04,118,9,68,84,70,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-05,102,71,35,84,39,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-06,54,21,1,49,71,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-07,21,2,100,26,71,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-08,3,142,76,0,42,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-09,100,100,28,0,25,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-10,99,94,21,142,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-07-11,88,72,86,142,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-12,65,23,72,115,53,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-13,47,22,51,84,36,105,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-07-14,3,64,35,60,10,86,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-15,2,31,25,55,106,66,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-16,87,5,15,52,75,22,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-17,76,105,0,17,68,2,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-18,57,94,93,6,38,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-19,35,93,55,51,17,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-07-20,117,58,10,33,6,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-21,80,52,91,32,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-22,51,18,72,3,112,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-23,15,16,54,123,91,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-07-24,53,13,11,100,79,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-25,35,63,9,78,37,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-26,98,56,0,43,29,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-27,61,32,92,15,26,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-07-28,11,8,44,4,72,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-07-29,116,0,12,0,46,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-07-30,88,133,0,0,31,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-07-31,51,125,104,0,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-08-01,51,105,78,112,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-02,4,61,34,87,148,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-08-03,136,51,15,49,125,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-04,110,45,12,39,116,145,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-08-05,72,26,9,12,69,116,133,0,0,0,0,0,0,0,0,CAMSHAFT
2015-08-06,61,16,88,0,64,69,122,0,0,0,0,0,0,0,0,BATTERY
2015-08-07,23,124,46,0,54,34,100,0,0,0,0,0,0,0,0,ALTERNATOR
2015-08-08,15,118,46,96,50,22,98,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-09,101,101,0,82,10,0,51,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-10,56,89,64,46,0,0,46,0,0,0,0,0,0,0,0,BATTERY
2015-08-11,55,62,24,80,0,0,21,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-12,18,22,74,48,0,0,6,0,0,0,0,0,0,0,0,BATTERY
2015-08-13,6,65,47,27,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-08-14,1,32,41,54,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-15,122,0,24,6,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-16,114,135,18,0,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-08-17,68,120,110,0,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-08-18,23,85,68,148,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-19,21,47,43,132,79,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-08-20,50,0,9,121,56,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-21,132,0,0,86,39,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-22,124,83,0,50,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-08-23,111,66,83,37,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-08-24,62,45,36,15,53,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-08-25,32,21,5,14,31,107,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-08-26,102,0,0,4,19,74,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-08-27,88,106,0,0,0,35,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-08-28,39,92,91,0,0,3,0,0,0,0,0,0,0,0,0,BATTERY
2015-08-29,20,71,63,150,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-08-30,20,28,20,143,90,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-08-31,16,16,16,136,82,102,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-09-01,134,0,0,108,43,67,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-09-02,127,80,0,100,0,47,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-03,123,67,52,80,0,15,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-04,81,54,40,70,98,11,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-09-05,74,36,17,21,48,51,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-09-06,56,28,86,0,20,9,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-07,27,18,69,149,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-08,15,109,52,125,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-09,6,99,31,79,73,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-09-10,107,91,22,55,50,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-09-11,89,90,8,31,2,125,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-09-12,85,63,70,17,0,92,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-13,70,32,68,55,0,80,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-14,35,92,30,12,0,64,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-15,9,47,24,94,0,23,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-16,52,27,17,61,0,21,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-09-17,49,64,15,57,0,2,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-18,20,34,66,10,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-19,17,17,37,98,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-20,4,136,27,68,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-21,59,126,0,60,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-09-22,49,99,59,16,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-23,31,73,53,63,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-24,1,53,23,39,94,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-09-25,134,43,0,15,86,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-09-26,118,1,139,0,58,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-09-27,108,54,104,0,32,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-09-28,90,45,100,132,26,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-09-29,40,23,75,107,118,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-09-30,25,137,28,107,94,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-10-01,1,115,24,107,56,55,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-10-02,99,77,7,77,22,51,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-10-03,89,34,128,49,0,20,0,0,0,0,0,0,0,0,0,BATTERY
2015-10-04,46,28,78,34,97,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-10-05,35,22,56,31,85,135,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-10-06,13,16,28,24,58,123,129,0,0,0,0,0,0,0,0,CAMSHAFT
2015-10-07,8,55,0,0,45,93,93,0,0,0,0,0,0,0,0,ALTERNATOR
2015-10-08,69,50,0,0,31,50,46,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-10-09,48,20,149,0,14,23,22,0,0,0,0,0,0,0,0,BATTERY
2015-10-10,38,140,113,0,3,3,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-10-11,80,136,110,0,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-10-12,37,135,71,125,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-10-13,33,107,38,89,143,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-10-14,69,72,23,69,122,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-10-15,41,56,13,69,118,50,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-10-16,51,19,0,55,109,26,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-10-17,41,92,0,48,97,18,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-10-18,23,71,145,37,81,4,0,0,0,0,0,0,0,0,0,BATTERY
2015-10-19,20,64,103,28,45,148,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-10-20,11,51,86,14,33,141,63,0,0,0,0,0,0,0,0,CAMSHAFT
2015-10-21,141,20,39,0,28,108,33,0,0,0,0,0,0,0,0,AIR COMPRESSOR
